文件,SHA256,课程,应读文字,音标,文字依据,状态,问题编号,说明,base.en 转写,tiny.en 转写,时长毫秒,起音毫秒,人工听审,审核人,审核日期,人工结论
soundmark/audio/loose.mp3,8086dba1da802dadbce0803e2326e4d0fe93dd209187a2d417322e495b9f2ebf,soundmark,loose,页面现状 /lu:z/；正确 /luːs/,page-literal,loose 的页面音标错误,A05,页面显示 /lu:z/；正确为 /luːs/。这是可直接核对的音标错误，不据此断言录音也读成 /z/。,Loose,Loose.,1776,220,待逐条人工听审,,,
unit1-2/audio/l01-w01.mp3,41ca6cc649ca205daf717052e87a38c4f30c35def888f2e6e6bb2c8459cf80ef,unit1-2,excuse,/ɪkˈskjuːz/,audio-manifest,excuse 词卡使用名词读音,A04,本课 Excuse me 使用动词 /ɪkˈskjuːz/。上下文合成选了词尾 /s/；与默认名词候选的波形相关系数为 0.9609，与动词 /z/ 候选为 0.5441。识别文字仍是 excuse，说明识别一致不能排除此类问题。,Excuse.,Excuse.,860,70,待逐条人工听审,,,
unit11-12/audio/l12-b02.mp3,943ba1ca49e9a3b3e2a9e68b760e14730cf2f8224213a6aa6f512784bebd4449,unit11-12,Whose is this car? It's Paul's. It's his car.,,audio-manifest,Paul’s 漏读人名,A03,两套识别均漏掉 Paul；实际配方重放后 Paul’s 的音素只剩 s，与现存录音的波形相关系数为 0.9908。,"Who's is this car? It's, it's his car.",Who's is this car? It's his car.,2426,70,待逐条人工听审,,,
unit5-6/audio/l05-d12.mp3,883d37170b5ef3e2b10b5dbed1f9820a2d668fc4160831b1b1a45bf8e25c8c11,unit5-6,And this is Chang-woo.,,audio-manifest,Chang-woo 漏读 Chang,A02,两套识别都只保留 Wu；生成分词把 Chang-woo 变为 wˈu。该缺词版本与现存录音的波形相关系数为 0.9553。旧发音例外规则只留校验值，无法还原完整规则。,And this is Wu.,And this is Wu.,1394,70,待逐条人工听审,,,
unit5-6/audio/l05-w01.mp3,a6189afc7289246780eca2f80db01c2f0d4bc119bb8c38efea3f6db8a2a8645b,unit5-6,Mr.,/ˈmɪstɚ/,audio-manifest,词卡夹带引导语,A01,两套识别都输出 Here is the word Mr. Mr.；上下文裁词分词边界异常。真实页面已取回相同文件并播放结束。,Here is the word Mr. Mr.,Here is the word Mr. Mr.,1870,70,待逐条人工听审,,,
lesson49/audio/do_you_want_beef_or_lamb.mp3,a96cf1ed4d19709f7b67a10319e706b3f8a38e5056022b744e48d3781ffb7fa4,lesson49 / unit49-50,Do you want beef or lamb?,,course-catalog,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Do you want B4 lamp?,Do you want B for lamb?,2424,260,待逐条人工听审,,,
lesson49/audio/pork.mp3,56f773763b990e2a71b8ef7afbc657577eb3fd8afce85659a79bebfbf1932e8c,lesson49 / unit49-50,pork,/pɔːk/,course-catalog,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Pook.,Poke.,1152,210,待逐条人工听审,,,
lesson50/audio/do.mp3,1ede4897c11530773c8ac1b507bbc63b5af152d1fae7973e21549ce419266056,lesson50,do,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,2,two,1776,250,待逐条人工听审,,,
lesson50/audio/lettuces.mp3,daef427590401cedb4e21605947de9a95292e3991e374fa74d4b0e7bea31113c,lesson50,lettuces,,filename-inferred,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Let us is,Let us see.,1776,220,待逐条人工听审,,,
lesson50/audio/pear.mp3,78927eddc50bd9a8af4a9793e6474de98fd62f0baa4dc4ee001018f5489ecb18,lesson50 / unit49-50,pear,/peə/,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,PAH!,Paaah!,1776,210,待逐条人工听审,,,
lesson50/audio/pears.mp3,12ec00e5a36d4bcd4b4102caba0c0fe59a896acf9771001287ef293d8ebc9660,lesson50,pears,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,PES,Pass!,1152,200,待逐条人工听审,,,
lesson50/audio/peas.mp3,6e091b04fa0c161ffe3d88000a135d5af97d4fba917ca224cecde2cdcf56a022,lesson50,peas,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Peace!,Peace!,1776,250,待逐条人工听审,,,
lesson50/audio/plays.mp3,c1196d6f0295756574790684b6fd889f9a2c33f6939510fb7900ed9d79fb69b1,lesson50,plays,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Please,Please.,1776,250,待逐条人工听审,,,
lesson51/audio/it_snows_sometimes.mp3,1ecb35a3e2dff518fc224f8c8bb60ff191a129e819cb6611fc21460b3ed84231,lesson51,It snows sometimes.,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,It's snow sometimes.,It snow sometimes.,2400,240,待逐条人工听审,,,
lesson51/audio/warm.mp3,d0ee65c58e153674a2533b9b2f7e8edc15b5e0af01594ec1e7e00390017d66cd,lesson51,warm,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Boom!,One.,1776,210,待逐条人工听审,,,
lesson51/audio/what_s_it_like_in_summer.mp3,5a435d84701d508d5901112f4a1a97fc469d96da7af283fe311849e4bdab7990,lesson51,What's it like in summer?,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,What it like in summer,What it like in summer?,2952,310,待逐条人工听审,,,
lesson52/audio/he_s_brazilian.mp3,9668e16058343c46e6d0960a2411ca8be413d6929d317bbe19f76174ce2aebc3,lesson52,He's Brazilian.,,rendered-page,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,His Brazilian.,It's Brazilian.,1992,270,待逐条人工听审,,,
lesson52/audio/norway.mp3,103c09ee31238bff4399d56338b3db43310f314f0cc93fdf59d939308d80e36a,lesson52,Norway,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,No way.,No way.,1776,210,待逐条人工听审,,,
lesson53/audio/warm.mp3,ae99250b91f69b7e065315c315fef93640815043a155050a8b219c9989ff325a,lesson53,warm,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,womb,Boom!,1776,220,待逐条人工听审,,,
lesson54/audio/does_the_sun_set_late.mp3,180f901b543bf9bef77439543b434369a8733c8bfe8ffeed66b7819155c3b3ad,lesson54,does the sun set late,,filename-inferred,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Does the sunset light?,Does the sunset light?,2328,240,待逐条人工听审,,,
lesson54/audio/the_sun_doesn_t_set_late.mp3,deb1877b3ee73615c86c860f70543245d24cb021cedde97a326df3eeef6fc616,lesson54,the sun doesn t set late,,filename-inferred,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,The sun doesn't set light.,The sun doesn't set light.,2496,260,待逐条人工听审,,,
lesson54/audio/the_sun_sets_late.mp3,c1c5ac6507b4fcc84d2a7548f48eb642f4abeeb81eb2f23ca6fbc03500e0bbf8,lesson54,The sun sets late.,,rendered-page,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,The sun sets light.,The sun sets light.,2232,230,待逐条人工听审,,,
lesson54/audio/yes_he_s_brazilian_he_comes_from_brazil.mp3,34a8b126a302cb22920248b6254aaabac1febce906a1f741ba060bbf022bc121,lesson54,yes he s brazilian he comes from brazil,,filename-inferred,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Yes. His Brazilian. He comes from Brazil.,Yes. His Brazilian. He comes from Brazil.,4392,170,待逐条人工听审,,,
lesson54/audio/you_re_finnish.mp3,57f66296456d20b0c0c69f3334d61b01e9eb1f4c7698ce3d320f5c352046b773,lesson54,You're Finnish.,,rendered-page,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,You'll finish.,You'll finish.,1896,250,待逐条人工听审,,,
soundmark/audio/ball.mp3,7e96682627574648309881f24262846e4858ac08cd932456fdf45c1c40f8d5b9,soundmark,ball,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Bull.,Bull!,1128,240,待逐条人工听审,,,
